tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
PAROQUIA ANGLICANA DE SANTOS,,Organização Religiosa,2013.0,,,JOSE MENINO,Religião,Religião
GREMIO RECREATIVO CULTURAL ESPORTIVO TORCIDA FORCA JOVEM,,Associação Privada,2013.0,,,MARAPE,Cultura e recreação,Esporte e recreação
ASSOCIACAO CULTURAL WIDIA,A.C. WIDIA,Associação Privada,2013.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO DOS USUARIOS DE TRANSP COL DE PASSAG RODOV,FERROV,HIDROV,METROV E AEREOS DE AMBITO NACIONAL (AUTAN)",AUTAN,Associação Privada,2012.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO MUTUA ASSISTENCIA DO PRONTO SOCORRO MUNICIPAL DE SANTOS,,Associação Privada,2003.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JABAQUARA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO EVANGELICA FONTE DE VIDA,,Organização Religiosa,1997.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,PONTA DA PRAIA,Desenvolvimento e defesa de direitos; Religião,Religião
ASSOCIACAO CULTURAL E RECREATIVA 306,,Associação Privada,1997.0,Atividades de recreação e lazer não especificadas anteriormente,Outras atividades de recreação e lazer não especificadas anteriormente,EMBARE,Cultura e recreação,Esporte e recreação
LOJA MACONICA AMIGOS DA VERDADE,LOJA MACONICA AMIGOS DA VERDADE,Associação Privada,1997.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA NOVA,Desenvolvimento e defesa de direitos; Religião,Religião
GRUPO ESPIRITA UNIAO FRATERNA,,Associação Privada,1996.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
UNIVEN UNIAO DOS VENERAVEIS DA BAIXADA SANTISTA,,Associação Privada,1990.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS MORADORES DA VILA DE FATIMA,,Associação Privada,1997.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CANELEIRA,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO MOINHO PACIFICO,,Associação Privada,1997.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ESTUARIO,Desenvolvimento e defesa de direitos,Outros
ILUSTRE CONSELHO FILOSOFICO DE KADOSCH NO. 42,ILUSTRE CONSELHO FILOSOFICO DE KADOSCH NO. 42,Associação Privada,1974.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO SANTA ISABEL DE COMBATE AO CANCER,,Associação Privada,1997.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
MINISTERIO DAS IGREJAS EVANGELICAS ASSEMBLEIA DE DEUS COM SEDE EM SANTOS - SP,,Associação Privada,1998.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
ASSOCIACAO DOS MORADORES DA CANELEIRA III,,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CANELEIRA,Desenvolvimento e defesa de direitos,Outros
INSTITUTO RL DE ESPORTES CULTURA E DANCA,,Associação Privada,1995.0,,,MACUCO,Desenvolvimento e defesa de direitos,Outros
ASSEPLAN - ASSOCIACAO DE USUARIOS EM PLANOS DE SAUDE DA BAIXADA SANTISTA,ASSEPLAN,Associação Privada,1997.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,EMBARE,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE FILANTROPICA BARAO TSCHOUDY,,Fundação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
GRUPO POETAS DO ESPACO CULTURAL,G.P.E.C.,Associação Privada,1997.0,,,APARECIDA,Saúde,Outros serviços de saúde
ASSOCIACAO BENEFICENTE E CULTURAL DOS PETROLEIROS,,Associação Privada,1997.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
IGREJA MUNDIAL DO PODER DE DEUS,,Organização Religiosa,2010.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,PONTA DA PRAIA,Religião,Religião
IGREJA MUNDIAL DO PODER DE DEUS,,Organização Religiosa,2012.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,GONZAGA,Religião,Religião
IGREJA MUNDIAL DO PODER DE DEUS,,Organização Religiosa,2014.0,,,MARAPE,Religião,Religião
IGREJA MUNDIAL DO PODER DE DEUS,,Organização Religiosa,2009.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,PAQUETA,Religião,Religião
ASSOCIACAO DE VOLUNTARIAS H.G.A. TULIPAS,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
IGREJA MUNDIAL DO PODER DE DEUS,,Organização Religiosa,2014.0,,,SAO MANOEL,Religião,Religião
IGREJA MUNDIAL DO PODER DE DEUS,,Organização Religiosa,2010.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,BOQUEIRAO,Religião,Religião
FRATERNIDADE DE CARITAS - NUCLEO ESPIRITUAL DEUS CONDUZ,FRATERNIDADE DE CARITAS,Associação Privada,1998.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
GRUPO BIRUTA DE ARTES CENICAS,BIRUTA,Associação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA BELMIRO,Desenvolvimento e defesa de direitos,Outros
LOJA MACONICA AQUARIUS N.O 2721,,Associação Privada,1997.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos; Religião,Religião
IRMANDADE ESPIRITA PAULO DE TARSO,,Associação Privada,1997.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA MATHIAS,Religião,Religião
IGREJA EVANGELICA PROJETO DE DEUS,,Associação Privada,1998.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA BELMIRO,Religião,Religião
ASSOCIACAO DOS AMIGOS DA BAIXADA SANTISTA,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
COMUNIDADE CATOLICA SAGRADA FAMILIA,,Organização Religiosa,2009.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,EMBARE,Religião,Religião
PRESBITERIO DE SANTOS,PRESBITERIO DE SANTOS DA IGREJA PRESBITERIANA DO BRASIL,Associação Privada,1997.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CAMPO GRANDE,Religião,Religião
GREMIO RECREATIVO BENEFICENTE BRASILEIRO DE SANTOS,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO FILANTROPICA BANDEIRANTE,SOCIEDADE FILANTROPICA BANDEIRANTE,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS PROFISSIONAIS DE RECURSOS HUMANOS DO LITORAL PAULISTA,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,APARECIDA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS PERUEIROS FUNDADORES DE AUTO-LOTACAO DE SANTOS,A. P. F. A. L. S.,Associação Privada,1998.0,,,MORRO NOVA CINTRA,Desenvolvimento e defesa de direitos,Outros
CENTRO ESPIRITA CHICO XAVIER,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MARAPE,Religião,Religião
ASSOCIACAO BRASILEIRA DE TRIATLO,ABTRI,Associação Privada,1995.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,GONZAGA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DOS EMPREGADOS DA PRODESAN-PROGRESSO E DESENVOLVI,ASSEMPRODESAN,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
IGREJA COMUNIDADE DE VIDA CRISTA DE SANTOS,,Associação Privada,1996.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,AREIA BRANCA,Religião,Religião
ASSOCIACAO DE EX-ALUNOS DO CENTRO UNIVERSITARIO MONTE SERRAT - EXAMS,,Associação Privada,1998.0,,,VILA MATIAS,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DO MACUCO,,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
HEPTADA MARTINISTA SANTOS - TOM,HEPTADA SANTOS,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BRASILEIRA DOS FORNECEDORES DE MATERIAS PRIMAS TEXTEIS ABRATEX,,Associação Privada,1999.0,Atividades de serviços prestados principalmente às empresas não especificadas anteriormente,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,CENTRO,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
GREMIO RECREATIVO UNIMPEX,,Associação Privada,1999.0,,,CENTRO,Cultura e recreação,Esporte e recreação
ASSOCIACAO DOS CLUBES DA REGIAO METROPOLITANA DA BAIXADA SANTISTA,,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO HELENICA DE SANTOS,,Associação Privada,1969.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS FUNCIONARIOS DA UNIMED DE SANTOS - A.F.U.S.,A.F.U.S.,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO COMUNITARIA E ASSISTENCIAL DO JARDIM RADIO CLUBE,RADIO CLUBE,Associação Privada,1999.0,,,JARDIM  RADIO  CLUBE,Desenvolvimento e defesa de direitos,Outros
CENTRO EDUCACIONAL DE ESTUDOS E ORIENTACAO DO ESPIRITO SANTO,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CASTELO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE USUARIOS DE PLANOS PART. E EMPRESAS CONTRAT. DA COOP. DE TRABALHO MEDICO UNIMED DE SANTOS-APEUCAN,APEUCAN,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
C.A.I.O FILHOS DO AMANHA - CENTRO DE APOIO A INSTITUICOES ORGANIZADA FILHOS DO AMANHA,FILHOS DO AMANHA,Associação Privada,1999.0,,,MACUCO,Assistência social,Assistência social
IGREJA EVANGELICA PENTECOSTAL JARDIM DE ORACAO,,Associação Privada,1999.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,JARDIM SAO MANOEL,Religião,Religião
GRUPO ASSISTENCIAL ESPIRITA NINHO DE AMOR E LUZ,,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Religião,Religião
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DA POMPEIA,,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,POMPEIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE MORADORES DA VILA SANTA CASA,,Associação Privada,1994.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO ALIANCA FRATERNAL DE SANTOS,,Associação Privada,2013.0,,,EMBARE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO CASA DO ARTESAO DE SANTOS,ACAST,Associação Privada,2013.0,,,JARDIM CASTELO,Cultura e recreação,Cultura e arte
ORDEM DO CAVALEIRO KADOSH FILOSOFICO PARA O RITO MODERNO DILHERMANDO CECERE VIDAL,ORDEM,Associação Privada,2012.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE AUXILIO A PESSOA COM CANCER  AAPC MARCIO GOMES BORDINHON,AAPC MARCIO GOMES BORDINHON,Associação Privada,2013.0,,,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS ACIONISTAS MINORITARIOS DA COMPANHIA DOCAS DO ESTADO DE SAO PAULO - AAM-CODESP,,Associação Privada,2012.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
ACC - ASSOCIACAO CAICARA DE CANOAGEM,,Associação Privada,2013.0,,,GONZAGA,Educação e pesquisa,Outras formas de educação/ensino
PIONEIROS CLUBE RECREATIVO,,Associação Privada,2012.0,,,MARAPE,Cultura e recreação,Esporte e recreação
11/SP GRUPO ESCOTEIRO DO MAR CARMO,GEMAR CARMO,Associação Privada,2013.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DA REGIONAL SP5 FRANQUEADOS WIZARD,,Associação Privada,2013.0,,,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
ASSOCIACAO REALIZAR,ASSOCIACAO REALIZAR,Associação Privada,2012.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATIAS,Desenvolvimento e defesa de direitos,Outros
LIGA METROPOLITANA DE GINASTICA,LIGA METROPOLITANA DE GINASTICA,Associação Privada,2012.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DE MORADORES E AMIGOS DO BAIRRO EMBARE,,Associação Privada,2012.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,EMBARE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS MORADORES E AMIGOS DO BAIRRO DO ESTUARIO,AMABE,Associação Privada,2012.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,ESTUARIO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IGREJA EVANGELICA ASSEMBLEIA DE DEUS MINISTERIO PROFETICO TEMPO DE AVIVAMENTO,,Organização Religiosa,2012.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,APARECIDA,Religião,Religião
HELP CENTRO DE DESENVOLVIMENTO SOCIAL E DE CAPACITACAO HUMANA,HELPP,Associação Privada,2012.0,Atividades de assistência social prestadas em residências coletivas e particulares,Albergues assistenciais,PONTA DA PRAIA,Assistência social; Outras atividades associativas,Assistência social; Associações de atividades não especificadas anteriormente
ASSOCIACAO CULTURAL COSME DAMIAO E DOUM,ACCDD,Associação Privada,2012.0,,,JARDIM SANTA MARIA,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO NACIONAL DAS EMPRESAS COLETORAS, TRANSPORTADORAS, BENEFICIADORAS E RECICLADORAS DE RESIDUOS",ANCORE,Associação Privada,2012.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
CACTOS CENTRO DE APOIO E RECUP DE DEPENDENTES DE DROGAS,,Associação Privada,1994.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATIAS,Desenvolvimento e defesa de direitos,Outros
ESPORTE CLUBE ALVORADA,,Associação Privada,1994.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
ASSOCIACAO CENTRO VIVO,,Associação Privada,1994.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
IGREJA EVANGELICA NOVA ALIANCA NO BRASIL,,Associação Privada,1995.0,,,AREIA BRANCA,Religião,Religião
AUG RESP LOJA SIMBOLICA MARTIM AFONSO SAMARITA N 450,,Associação Privada,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
ASSOCIACAO BENEFICENTE ALBERTO SANTOS DUMONT,,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO G XX,G XX,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ALEMOA,Desenvolvimento e defesa de direitos,Outros
LAR ESPIRITA CRISTAO BENEDITO JUNIOR,,Associação Privada,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
ASSOCIACAO MEDICO ESPIRITA DA BAIXADA SANTISTA,,Associação Privada,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
CLUBE 431,,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE BRASILEIRA DE TERAPIA DE VIDA PASSADA SBTVP,,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
APAS - ASSOCIACAO PARCEIRA DE ASSISTENCIA A SAUDE,APAS,Associação Privada,1995.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
NUCLEO ESPIRITA IRMA GENOVEVA,,Organização Religiosa,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA MATHIAS,Religião,Religião
"POIESIS - INSTITUTO DE APOIO A CULTURA, A LINGUA E A LITERATURA",,Associação Privada,2014.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
FUNDACAO EDUCACIONAL E CULTURAL ART,,Fundação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,EMBARE,Desenvolvimento e defesa de direitos,Outros
AS PROT CRIANC ADOL C S JOSE O LAR DA CRIANCA FELIZ,CASA SAO JOSE,Associação Privada,1995.0,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,VILA BELMIRO,Assistência social,Assistência social
ASSOCIACAO BRASILEIRA DOS EXPORTADORES DE CAFE ABECAFE,,Associação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO CAMINHO DE SANTA MARIA,,Associação Privada,1996.0,,,MORRO NOVA CINTRA,Desenvolvimento e defesa de direitos,Outros
IGREJA BATISTA DO HORTO,,Associação Privada,1996.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,JD BOM RETIRO,Religião,Religião
ASSOCIACAO DOS FUNCIONARIOS HIPERCON TERM.CARGAS LTDA.,,Associação Privada,1996.0,,,ALEMOA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
CLUBE DE AUTOMOVEIS ANTIGOS DE SANTOS,C A A S,Associação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PAQUETA,Desenvolvimento e defesa de direitos,Outros
AUG. E RESP. LOJ A SIMB. FLORENTINO DIEGUES GONCALVES,,Associação Privada,1995.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA NOVA,Religião,Religião
ASSOCIACAO RADIO COMUNITARIA ALPHA FM,,Associação Privada,1996.0,Atividades de rádio,Atividades de rádio,MACUCO,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
TENDA DE UMBANDA MAE YEMANJA OGUM BEIRA MAR E JUREMA,,Associação Privada,1989.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ENCRUZILHADA,Religião,Religião
COMUNIDADE CATOLICA PANTOKRATOR,COMUNIDADE CATOLICA PANTOKRATOR O FILHO DA VIRGEM MARIA,Organização Religiosa,2007.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA MATHIAS,Religião,Religião
IGREJA EVANGELICA REMIDOS POR CRISTO,,Associação Privada,1996.0,,,CHICO DE PAULA,Religião,Religião
ASSOCIACAO DE ESTUDOS FILOSOFICOS DE SANTOS,NOVA ACROPOLE,Associação Privada,1996.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,EMBARE,Desenvolvimento e defesa de direitos,Outros
IGREJA EVANGELICA JESUS CRISTO VIVE,,Organização Religiosa,1996.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,PONTA DA PRAIA,Religião,Religião
IGREJA ALIANCA BIBLICA DE SANTOS,,Associação Privada,1996.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CAMPO GRANDE,Religião,Religião
BANCO DE OLHOS DA BAIXADA SANTISTA - BOBS,,Associação Privada,1996.0,Atividades de atendimento hospitalar,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",BOQUEIRAO,Saúde,Outros serviços de saúde
ASSOCIACAO DE MESATENISTAS DA BAIXADA SANTISTA,AMBS,Associação Privada,1996.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,CENTRO,Cultura e recreação,Esporte e recreação
GRUPO ESPIRITA DE APRENDIZADO EVANGELICO,,Associação Privada,1997.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,EMBARE,Religião,Religião
DRIVE - ASSOCIACAO DE PAIS E AMIGOS DE TENIS DE MESA,DRIVE,Associação Privada,2010.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,GONZAGA,Cultura e recreação,Esporte e recreação
ASSOCIACAO CULTURAL AFRO-BRASILEIRA LUZ DAS CANDEIAS DO LITORAL DA COSTA DA MATA ATLANTICA,AFROLUZ,Associação Privada,2010.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,VILA NOVA,Cultura e recreação,Cultura e arte
ASSOCIACAO CULTURAL GENESIS XXV,,Associação Privada,2009.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,ESTUARIO,Cultura e recreação,Cultura e arte
INSTITUTO ENERGIA,INSTITUTO ENERGIA,Associação Privada,2010.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
INSTITUTO BRASILEIRO DE APRENDIZAGEM PROFISSIONAL,,Associação Privada,2013.0,,,VILA MATIAS,Educação e pesquisa,Outras formas de educação/ensino
CENTRO ESPORTIVO COMUNITARIO DE FISICULTURISMO E MUSCULACAO,,Associação Privada,2010.0,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,JOSE MENINO,Cultura e recreação; Religião,Religião
ASSOCIACAO ATLETICA ACADEMICA FLAVIA FOGLI PISANESCHI,,Associação Privada,2010.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,VILA MATIAS,Cultura e recreação,Cultura e arte
TEMPLO ESPIRITA DE UMBANDA SAO MIGUEL ARCANJO,TEUSMA,Organização Religiosa,2006.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,PAQUETA,Religião,Religião
INSTITUTO PAULO VIRIATO CORREA DA COSTA,IPVCC,Associação Privada,2010.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
PROJETO METROPOLITANO MAESTRO ANTONIO MANZIONE VIOLOES EM PAUTA,,Associação Privada,2010.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,EMBARE,Cultura e recreação,Cultura e arte
MINISTERIO EVANGELICO PORTAS ABERTAS,MINISTERIO EVANGELICO PORTAS ABERTAS,Organização Religiosa,2010.0,,,VILA MATHIAS,Religião,Religião
ASSOCIACAO PROJETO FAMILIA,PROJETO FAMILIA,Associação Privada,2010.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA MATIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSEMBLEIA DE DEUS ABRACANDO VIDAS,ASSEMBLEIA DE DEUS ABRACANDO VIDAS,Organização Religiosa,2010.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,SAO MANOEL,Religião,Religião
ROTARY CLUB DE SANTOS - APARECIDA,,Associação Privada,2010.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,APARECIDA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IGREJA EVANGELICA JESUS E O SENHOR,IGREJA EVANGELICA JESUS E O SENHOR,Associação Privada,2003.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,SABOO,Religião,Religião
CLUBE DO CHORO DE SANTOS,,Associação Privada,2002.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO DOS PESCADORES ARTESANAIS DO CANAL DE SANTOS, CARUARA E BERTIOGA DO ESTADO DE SAO PAULO",,Associação Privada,2003.0,,,CARUARA,Desenvolvimento e defesa de direitos,Outros
IGREJA CRISTA MARANATA,IGREJA CRISTA MARANATA PRESBITERIO ESPIRITO SANTENSE,Organização Religiosa,2011.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MARAPE,Religião,Religião
JUVENTUDE OPERARIA CATOLICA BRASILEIRA,JOC BRASILEIRA,Associação Privada,1984.0,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,CENTRO,Assistência social,Assistência social
IGREJA INTERNACIONAL DA GRACA DE DEUS,IGREJA DA GRACA,Organização Religiosa,2001.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,GONZAGA,Religião,Religião
